X1 transaction date,X2 house age,X3 distance to the nearest MRT station
2013.167,13.3,492.2313
2013.5,13.6,492.2313
2013.25,31.5,414.9476
2013.417,0,185.4296
2012.917,9.9,279.1726
2013.167,1.1,193.5845
2013.083,38.6,804.6897
2013.25,3.8,383.8624
2013.083,41.3,124.9912
2013.417,38.5,216.8329
2013.25,29.6,535.527
2013.5,4,2147.376
2013.167,26.6,482.7581
2012.833,18,373.3937
2012.667,33.4,186.9686
2012.917,18.9,1009.235
2012.75,11.4,390.5684
2013.5,13.6,319.0708
2013.167,10,942.4664
2012.667,12.9,492.2313
2013.25,16.2,289.3248
2013.333,5.1,1559.827
2013.417,19.8,640.6071
2013.5,13.6,492.2313
2013.083,11.9,1360.139
2012.917,2.1,451.2438
2012.75,0,185.4296
2012.75,3.2,489.8821
2013.5,16.4,3780.59
2012.667,34.9,179.4538
2013.25,35.8,170.7311
2013.5,4.9,387.7721
2013.333,12,1360.139
2013.25,6.5,376.1709
2013.5,16.9,4066.587
2013.167,13.8,4082.015
2013.583,30.7,1264.73
2013.25,16.1,815.9314
2013,11.6,390.5684
2012.667,15.5,815.9314
2012.917,3.5,49.66105
2013.417,19.2,616.4004
2012.75,16,4066.587
2013.5,8.5,104.8101
2012.833,0,185.4296
2012.917,13.7,1236.564
2013.417,0,292.9978
2013.417,28.2,330.0854
2013.083,27.6,515.1122
2013.417,8.4,1962.628
2013.333,24,4527.687
2013.083,3.6,383.8624
2013.583,6.6,90.45606
2013.083,41.3,401.8807
2013.417,4.3,432.0385
2013.083,30.2,472.1745
2012.833,13.9,4573.779
2013.083,33,181.0766
2013.5,13.1,1144.436
2013.083,14,438.8513
2012.667,26.9,4449.27
2013.167,11.6,201.8939
2013.5,13.5,2147.376
2013.5,17,4082.015
2012.75,14.1,2615.465
2012.75,31.4,1447.286
2013.167,20.9,2185.128
2013,8.9,3078.176
2012.917,34.8,190.0392
2012.917,16.3,4066.587
2013.5,35.3,616.5735
2013.167,13.2,750.0704
2013.167,43.8,57.58945
2013.417,9.7,421.479
2013.5,15.2,3771.895
2013.333,15.2,461.1016
2013,22.8,707.9067
2013.25,34.4,126.7286
2013.083,34,157.6052
2013.417,18.2,451.6419
2013.417,17.4,995.7554
2013.417,13.1,561.9845
2012.917,38.3,642.6985
2012.667,15.6,289.3248
2013,18,1414.837
2013.083,12.8,1449.722
2013.25,22.2,379.5575
2013.083,38.5,665.0636
2012.75,11.5,1360.139
2012.833,34.8,175.6294
2013.5,5.2,390.5684
2013.083,0,274.0144
2013.333,17.6,1805.665
2013.083,6.2,90.45606
2013.583,18.1,1783.18
2013.333,19.2,383.7129
2013.25,37.8,590.9292
2012.917,28,372.6242
2013.417,13.6,492.2313
2012.75,29.3,529.7771
2013.333,37.2,186.5101
2013.333,9,1402.016
2013.583,30.6,431.1114
2013.25,9.1,1402.016
2013.333,34.5,324.9419
2013.25,1.1,193.5845
2013,16.5,4082.015
2012.917,32.4,265.0609
2013.417,11.9,3171.329
2013.583,31,1156.412
2013.5,4,2147.376
2012.833,16.2,4074.736
2012.917,27.1,4412.765
2013.333,39.7,333.3679
2013.25,8,2216.612
2012.75,12.9,250.631
2013.167,3.6,373.8389
2013.167,13,732.8528
2013.083,12.8,732.8528
2013.5,18.1,837.7233
2013.083,11,1712.632
2013.5,13.7,250.631
2012.833,2,2077.39
2013.417,32.8,204.1705
2013.083,4.8,1559.827
2013.417,7.5,639.6198
2013.417,16.4,389.8219
2013.333,21.7,1055.067
2013,19,1009.235
2012.833,18,6306.153
2013.167,39.2,424.7132
2012.917,31.7,1159.454
2012.833,5.9,90.45606
2012.667,30.4,1735.595
2012.667,1.1,329.9747
2013.417,31.5,5512.038
2012.667,14.6,339.2289
2013.25,17.3,444.1334
2013.417,0,292.9978
2013.083,17.7,837.7233
2013.25,17,1485.097
2013.167,16.2,2288.011
2012.917,15.9,289.3248
2013.417,3.9,2147.376
2013.167,32.6,493.657
2012.833,15.7,815.9314
2013.25,17.8,1783.18
2012.833,34.7,482.7581
2013.417,17.2,390.5684
2013,17.6,837.7233
2012.917,17.7,451.6419
2012.75,13,492.2313
2013.417,13.2,170.1289
2013.167,27.5,394.0173
2012.667,1.5,23.38284
2013,19.1,461.1016
2013.417,21.2,2185.128
2012.75,0,208.3905
2013.417,2.6,1554.25
2013.25,2.3,184.3302
2013.333,4.7,387.7721
2012.917,2,1455.798
2013.417,33.5,1978.671
2012.917,15,383.2805
2013.167,30.1,718.2937
2012.917,5.9,90.45606
2013,19.2,461.1016
2013.583,16.6,323.6912
2013.333,13.9,289.3248
2013.083,37.7,490.3446
2012.833,3.4,56.47425
2013.083,17.5,395.6747
2012.667,12.6,383.2805
2013.5,26.4,335.5273
2013.167,18.2,2179.59
2012.75,12.5,1144.436
2012.833,34.9,567.0349
2013.333,16.7,4082.015
2013.167,33.2,121.7262
2013.083,2.5,156.2442
2012.75,38,461.7848
2013.5,16.5,2288.011
2013.5,38.3,439.7105
2013.417,20,1626.083
2013.083,16.2,289.3248
2013.5,14.4,169.9803
2012.833,10.3,3079.89
2013.417,16.4,289.3248
2013.25,30.3,1264.73
2013.583,16.4,1643.499
2013.167,21.3,537.7971
2013.583,35.4,318.5292
2013.333,8.3,104.8101
2013.25,3.7,577.9615
2013.083,15.6,1756.411
2013.25,13.3,250.631
2012.75,15.6,752.7669
2013.333,7.1,379.5575
2013.25,34.6,272.6783
2012.75,13.5,4197.349
2012.917,16.9,964.7496
2013,12.9,187.4823
2013.417,28.6,197.1338
2012.667,12.4,1712.632
2013.083,36.6,488.8193
2013.5,4.1,56.47425
2013.417,3.5,757.3377
2012.833,15.9,1497.713
2013,13.6,4197.349
2013.083,32,1156.777
2013.333,25.6,4519.69
2013.167,39.8,617.7134
2012.75,7.8,104.8101
2012.917,30,1013.341
2013.583,27.3,337.6016
2012.833,5.1,1867.233
2012.833,31.3,600.8604
2012.917,31.5,258.186
2013.333,1.7,329.9747
2013.333,33.6,270.8895
2013,13,750.0704
2012.667,5.7,90.45606
2013,33.5,563.2854
2013.5,34.6,3085.17
2012.667,0,185.4296
2013.417,13.2,1712.632
2013.583,17.4,6488.021
2012.833,4.6,259.6607
2012.75,7.8,104.8101
2013,13.2,492.2313
2012.833,4,2180.245
2012.833,18.4,2674.961
2013.5,4.1,2147.376
2013.417,12.2,1360.139
2013.25,3.8,383.8624
2012.833,10.3,211.4473
2013.417,0,338.9679
2013.167,1.1,193.5845
2013.5,5.6,2408.993
2012.667,32.9,87.30222
2013.083,41.4,281.205
2013.417,17.1,967.4
2013.5,32.3,109.9455
2013.417,35.3,614.1394
2012.917,17.3,2261.432
2012.75,14.2,1801.544
2012.833,15,1828.319
2013.417,18.2,350.8515
2012.667,20.2,2185.128
2012.75,15.9,289.3248
2013.5,4.1,312.8963
2013,33.9,157.6052
2013.083,0,274.0144
2013.25,5.4,390.5684
2013.25,21.7,1157.988
2013.417,14.7,1717.193
2013.333,3.9,49.66105
2013.333,37.3,587.8877
2013.333,0,292.9978
2013.333,14.1,289.3248
2013.417,8,132.5469
2013,16.3,3529.564
2012.667,29.1,506.1144
2012.75,16.1,4066.587
2013,18.3,82.88643
2012.833,0,185.4296
2013.25,16.2,2103.555
2013.5,10.4,2251.938
2013.25,40.9,122.3619
2013.5,32.8,377.8302
2013.583,6.2,1939.749
2013.083,42.7,443.802
2013,16.9,967.4
2013.5,32.6,4136.271
2012.917,21.2,512.5487
2012.667,37.1,918.6357
2013.417,13.1,1164.838
2013.417,14.7,1717.193
2012.917,12.7,170.1289
2013.25,26.8,482.7581
2013.083,7.6,2175.03
2012.833,12.7,187.4823
2012.667,30.9,161.942
2013.333,16.4,289.3248
2012.667,23,130.9945
2013.167,1.9,372.1386
2013,5.2,2408.993
2013.417,18.5,2175.744
2013,13.7,4082.015
2012.667,5.6,90.45606
2013.25,18.8,390.9696
2013,8.1,104.8101
2013.5,6.5,90.45606
