X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
5,24.98203,121.54348,53
3,24.96299,121.51284,31.7
7,24.96968,121.54522,40.6
4,24.97886,121.53464,38.1
3,24.96731,121.51486,23.7
5,24.97433,121.53863,41.1
5,24.97937,121.54245,40.1
0,24.96334,121.54767,23
8,24.96945,121.5449,26.5
5,24.96515,121.53737,40.5
1,24.97371,121.52984,29.3
7,24.97305,121.53994,41
7,24.96772,121.54102,49.7
5,24.95425,121.5399,34
3,24.96322,121.51237,27.7
6,24.95618,121.53844,44
3,24.97026,121.51642,31.1
6,24.96581,121.54086,45.4
9,24.98118,121.53788,44.8
1,24.9512,121.549,25.6
2,24.98674,121.51844,23.5
7,24.96735,121.54464,34.4
3,24.97509,121.53644,55.3
9,24.97433,121.5431,56.3
5,24.95425,121.5399,32.9
6,24.97841,121.5428,51
5,24.98203,121.54348,44.5
0,24.97217,121.53471,37
7,24.95744,121.53711,54.4
5,24.95674,121.534,24.5
7,24.96735,121.54464,42.5
6,24.9796,121.5414,38.1
3,24.96299,121.51252,21.8
4,24.99176,121.53456,34.1
4,24.97003,121.5458,28.5
0,24.94155,121.50381,16.7
10,24.98178,121.54059,46.1
4,24.96696,121.53992,36.9
0,24.97229,121.53445,35.7
3,24.95885,121.51359,23.2
0,24.97161,121.53423,38.4
3,24.96622,121.51668,29.4
5,24.98203,121.54348,55
1,24.97369,121.52979,50.2
0,24.9546,121.56627,24.7
5,24.98203,121.54348,53
0,24.94883,121.52954,19.1
2,24.95394,121.55174,24.7
4,24.97425,121.53814,42.2
9,24.97071,121.54069,78
5,24.96674,121.54067,42.8
6,24.97201,121.54722,41.6
2,24.9832,121.51812,27.3
7,24.96606,121.54297,42
2,24.97795,121.53451,37.5
10,24.98343,121.53762,49.8
5,24.95562,121.53872,26.9
0,24.93885,121.50383,18.6
4,24.98872,121.53411,37.7
1,24.97388,121.52981,33.1
6,24.97631,121.54436,42.5
2,24.96412,121.5167,31.3
8,24.97015,121.54494,38.1
7,24.95744,121.53711,62.1
3,24.97538,121.54971,36.7
3,24.97003,121.51696,23.6
0,24.93885,121.50383,19.2
0,24.94935,121.53046,12.8
0,24.94826,121.49587,15.6
2,24.97577,121.53475,39.6
5,24.96674,121.54067,38.4
5,24.99006,121.5346,22.8
6,24.96431,121.54063,36.5
2,24.98407,121.51748,35.6
5,24.96871,121.54651,30.9
9,24.96867,121.54331,36.3
5,24.98254,121.54395,50.4
0,24.97281,121.53265,42.9
2,24.97371,121.54951,37
9,24.97433,121.5431,53.5
8,24.98223,121.53597,46.6
0,24.998,121.5155,41.2
0,24.9711,121.5317,37.9
2,24.96412,121.5167,30.8
1,24.95719,121.47353,11.2
6,24.97585,121.54516,53.7
5,24.96674,121.54067,47
5,24.96515,121.53737,42.3
3,24.96324,121.51241,28.6
3,24.96143,121.50827,25.7
3,24.96299,121.51284,31.3
1,24.95204,121.54842,30.1
5,24.98085,121.54391,60.7
1,24.97417,121.52999,45.3
9,24.96853,121.54413,44.9
6,24.96571,121.54089,45.1
0,24.95505,121.55964,24.7
10,24.983,121.54022,47.1
8,24.97345,121.54093,63.3
4,24.98872,121.53408,40
10,24.98182,121.54086,48
7,24.97913,121.53666,33.1
4,24.96182,121.51222,29.5
1,24.95153,121.55254,24.8
2,24.96464,121.51531,20.9
1,24.97544,121.53119,43.1
3,24.96322,121.51237,22.8
5,24.98203,121.54348,42.1
5,24.95591,121.53956,51.7
7,24.96628,121.54196,41.5
1,24.9748,121.53059,52.2
5,24.97937,121.54245,49.5
0,24.96165,121.55011,23.8
2,24.96447,121.51649,30.5
8,24.95836,121.53756,56.8
8,24.97077,121.54634,37.4
6,24.97744,121.54458,69.7
5,24.98203,121.54348,53.3
9,24.98298,121.53981,47.3
0,24.93207,121.51597,29.3
4,24.97845,121.53889,40.3
0,24.94297,121.50342,12.9
10,24.983,121.54026,46.6
0,24.9711,121.5317,55.3
3,24.96042,121.51462,25.6
4,24.95957,121.51353,27.3
8,24.96756,121.5423,67.7
9,24.97151,121.5435,38.6
1,24.95155,121.55387,31.3
6,24.97927,121.53874,35.3
4,24.98872,121.53408,40.3
1,24.95544,121.4963,24.7
4,24.974,121.53842,42.5
1,24.97198,121.55063,31.9
4,24.99156,121.53406,32.2
2,24.96447,121.51649,23
1,24.97371,121.52984,37.3
5,24.97433,121.53863,35.5
3,24.96305,121.51254,27.7
1,24.97388,121.52981,28.5
9,24.98353,121.53966,39.7
5,24.98203,121.54348,41.2
6,24.95663,121.53765,37.2
7,24.97293,121.54026,40.5
0,24.95505,121.55964,22.3
3,24.9633,121.51243,28.1
0,24.94155,121.50381,15.4
9,24.97433,121.5431,50
7,24.97923,121.53986,40.6
5,24.96674,121.54067,52.5
9,24.97433,121.5431,63.9
